directory,score,clarity,accuracy
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,0,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,8,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,6,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,3,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,2,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,4,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,7,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,7,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,7,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,7,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-3.5-turbo_4_19_24,8,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,7,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,8,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,1,8,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,0,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,9,8,5
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,8,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,6,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,6,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,7,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,0,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_gpt-4-turbo_4_19_24,8,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,4,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,3,10,3
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,2,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,7,10,9
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,6,9,5
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,1,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,7,7,3
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,7,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,7,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_mistral-large-latest_4_19_24,7,8,3
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_open-mistral-7b_4_19_24,0,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_open-mistral-7b_4_19_24,0,3,1
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_open-mistral-7b_4_19_24,2,8,7
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_open-mistral-7b_4_19_24,0,4,2
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_open-mistral-7b_4_19_24,0,6,2
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_open-mistral-7b_4_19_24,0,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_open-mistral-7b_4_19_24,9,3,2
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_open-mistral-7b_4_19_24,3,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAHard11_open-mistral-7b_4_19_24,0,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,9,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,8,9,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,7,8,2
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,6,7,8
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,2,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,9,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,8,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-3.5-turbo_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,9,10,9
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,7,10,5
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,7,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,9,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,1,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_gpt-4-turbo_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,1,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,7,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,8,10,7
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,8,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,8,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,9,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_mistral-large-latest_4_19_24,10,10,9
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,0,9,8
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,7,10,7
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,3,9,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,0,6,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,0,7,3
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,2,7,7
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,0,9,8
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,0,9,9
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,2,8,7
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAEasy10_open-mistral-7b_4_19_24,9,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,8,7,3
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,6,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,2,8,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,8,7,4
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,9,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,7,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,4,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,7,9,9
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,7,7,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-3.5-turbo_4_19_24,8,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-4-turbo_4_19_24,4,9,6
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-4-turbo_4_19_24,9,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-4-turbo_4_19_24,1,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-4-turbo_4_19_24,7,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-4-turbo_4_19_24,7,9,9
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-4-turbo_4_19_24,7,9,7
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive_and_chain_of_thought\QAHard11_gpt-4-turbo_4_19_24,0,10,10
